Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
250,DuPont,DD,Chemicals,Chemicals,yes,no,no,no,-37,no,yes,no,no,no,23000,32895,16549,-3.6,5868,-9.3,41355,Edward D. Breen,U.S.,Wilmington,DE,www.dupont.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",32895,6/5/2023
251,Automatic Data Processing,ADP,Business Services,Diversified Outsourcing Services,yes,no,yes,yes,-9,no,yes,no,no,no,60000,92247,16498,9.9,2949,13.5,63068,Maria Black,U.S.,Roseland,NJ,www.adp.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",92247,6/5/2023
252,Group 1 Automotive,GPI,Retailing,"Automotive Retailing, Services",yes,no,no,yes,21,yes,no,no,no,no,15491,3194,16412,18.9,752,36.1,6718,Daryl A. Kenningham,U.S.,Houston,TX,www.group1auto.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",3194,6/5/2023
253,Aramark,ARMK,Business Services,Diversified Outsourcing Services,yes,no,no,yes,61,yes,no,no,no,no,273875,9326,16327,35,195,,15082,John J. Zillmer,U.S.,Philadelphia,PA,www.aramark.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",9326,6/5/2023
254,Thor Industries,THO,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,52,yes,no,no,no,no,32000,4262,16313,32.4,1138,72.4,7408,Robert W. Martin,U.S.,Elkhart,IN,www.thorindustries.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",4262,6/5/2023
255,DXC Technology,DXC,Technology,Information Technology Services,yes,no,no,no,-48,no,yes,no,no,no,130000,5820,16265,-8.3,718,,20139,Michael J. Salvino,U.S.,Ashburn,VA,www.dxc.technology,Public,"Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",5820,6/5/2023
256,Viatris,VTRS,Health Care,Pharmaceuticals,yes,no,no,no,-52,no,yes,no,no,no,37000,11513,16263,-9.1,2079,,50022,Scott A. Smith,U.S.,Canonsburg,PA,www.viatris.com,Public,"Market value as of March 31, 2023.",11513,6/5/2023
257,Reinsurance Group of America,RGA,Financials,"Insurance: Life, Health (stock)",yes,no,yes,yes,-35,no,yes,no,no,no,3800,8876,16258,-2.4,623,1,84706,Anna Manning,U.S.,Chesterfield,MO,www.rgare.com,Public,"Market value as of March 31, 2023.",8876,6/5/2023
258,AutoZone,AZO,Retailing,Specialty Retailers: Other,yes,no,no,yes,-9,no,yes,no,no,no,90720,45224,16252,11.1,2430,11.9,15275,William C. Rhodes III,U.S.,Memphis,TN,www.autozone.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of March 31, 2023.",45224,6/5/2023
259,PulteGroup,PHM,Engineering & Construction,Homebuilders,yes,no,no,yes,8,yes,no,no,no,yes,6524,13073,16229,16.5,2617,34.5,14797,Ryan R. Marshall,U.S.,Atlanta,GA,www.pultegroupinc.com,Public,"Market value as of March 31, 2023.",13073,6/5/2023
260,Illinois Tool Works,ITW,Industrials,Industrial Machinery,yes,no,no,yes,-8,no,yes,no,no,no,46000,74209,15932,10.2,3034,12.6,15422,E. Scott Santi,U.S.,Glenview,IL,www.itw.com,Public,"Market value as of March 31, 2023.",74209,6/5/2023
261,Parker-Hannifin,PH,Industrials,Industrial Machinery,yes,no,yes,yes,-8,no,yes,no,no,no,55090,43112,15862,10.6,1316,-24.7,25944,Jennifer A. Parmentier,U.S.,Cleveland,OH,www.parker.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",43112,6/5/2023
262,BorgWarner,BWA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,-18,no,yes,no,no,no,52700,11481,15801,6.5,944,75.8,16994,Frederic B. Lissalde,U.S.,Auburn Hills,MI,www.borgwarner.com,Public,"Market value as of March 31, 2023.",11481,6/5/2023
263,Westlake,WLK,Chemicals,Chemicals,yes,no,no,yes,57,yes,no,no,no,no,15920,14812,15794,34.1,2247,11.5,20550,Albert Yuan Chao,U.S.,Houston,TX,www.westlake.com,Public,"Market value as of March 31, 2023.",14812,6/5/2023
264,Consolidated Edison,ED,Energy,Utilities: Gas and Electric,yes,no,no,yes,12,yes,no,no,no,no,14319,33967,15670,14.6,1660,23.3,69065,Timothy P. Cawley,U.S.,New York,NY,www.conedison.com,Public,"Market value as of March 31, 2023.",33967,6/5/2023
265,Gap,GPS,Retailing,Specialty Retailers: Apparel,no,no,no,no,-45,no,yes,no,no,no,95000,3693,15616,-6.3,-202,-178.9,11386,Richard Dickson,U.S.,San Francisco,CA,www.gapinc.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",3693,6/5/2023
266,Opendoor Technologies,OPEN,Technology,Internet Services and Retailing,no,no,yes,no,159,yes,no,no,no,no,2570,1131,15567,94.1,-1353,,6608,Carrie A. Wheeler,U.S.,Tempe,AZ,www.opendoor.com,Public,"Market value as of March 31, 2023.",1131,6/5/2023
267,Nordstrom,JWN,Retailing,General Merchandisers,yes,no,no,no,-22,no,yes,no,no,no,60000,2606,15530,5,245,37.6,8745,Erik B. Nordstrom,U.S.,Seattle,WA,www.nordstrom.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",2606,6/5/2023
268,Asbury Automotive Group,ABG,Retailing,"Automotive Retailing, Services",yes,no,no,no,92,yes,no,no,no,no,13000,4557,15434,56.9,997,87.3,8021,David W. Hult,U.S.,Duluth,GA,www.asburyauto.com,Public,"Market value as of March 31, 2023.",4557,6/5/2023
269,Ball,BALL,Materials,"Packaging, Containers",yes,no,no,no,3,yes,no,no,no,no,21000,17326,15349,11.1,719,-18.1,19909,Daniel W. Fisher,U.S.,Westminster,CO,www.ball.com,Public,"Market value as of March 31, 2023.",17326,6/5/2023
270,Kellogg,K,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-12,no,yes,no,no,no,30000,22945,15315,8,960,-35.5,18496,Steven A. Cahillane,U.S.,Battle Creek,MI,www.kelloggcompany.com,Public,"Market value as of March 31, 2023.",22945,6/5/2023
271,Xcel Energy,XEL,Energy,Utilities: Gas and Electric,yes,no,no,yes,7,yes,no,no,no,no,11982,37082,15310,14,1736,8.7,61188,Robert C. Frenzel,U.S.,Minneapolis,MN,www.xcelenergy.com,Public,"Market value as of March 31, 2023.",37082,6/5/2023
272,W.W. Grainger,GWW,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,12,yes,no,no,no,yes,24500,34622,15228,16.9,1547,48.3,7588,D.G. Macpherson,U.S.,Lake Forest,IL,www.grainger.com,Public,"Market value as of March 31, 2023.",34622,6/5/2023
273,Discover Financial Services,DFS,Financials,Commercial Banks,yes,no,no,yes,8,yes,no,no,no,yes,20200,25635,15202,15,4392,-19.4,131628,John B. Owen,U.S.,Riverwoods,IL,www.discover.com,Public,"Market value as of March 31, 2023.",25635,6/5/2023
274,Baxter International,BAX,Health Care,Medical Products and Equipment,no,no,no,no,18,yes,no,no,no,no,60000,20504,15113,18.2,-2433,-289.5,28287,José E. Almeida,U.S.,Deerfield,IL,www.baxter.com,Public,"Market value as of March 31, 2023.",20504,6/5/2023
275,Southwestern Energy,SWN,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,211,yes,no,no,no,no,1118,5506,15002,125,1849,,12926,William J. Way,U.S.,Spring,TX,www.swn.com,Public,"Market value as of March 31, 2023.",5506,6/5/2023
276,DCP Midstream,DCP,Energy,Pipelines,yes,no,no,yes,68,yes,no,no,no,no,1910,8701,14993,40,1052,169.1,13334,Donald A. Baldridge,U.S.,Denver,CO,www.dcpmidstream.com,Public,"A partnership. Market value as of March 31, 2023.",8701,6/5/2023
277,Jacobs Solutions,J,Engineering & Construction,Engineering & Construction,yes,no,no,yes,-15,no,yes,no,no,no,58350,14890,14923,5.9,644,35,14660,Bob Pragada,U.S.,Dallas,TX,www.jacobs.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Reorganized as holding company, Aug. 29, 2022. Jacobs Engineering is now a subsidiary of the company. Market value as of March 31, 2023.",14890,6/5/2023
278,Laboratory Corp. of America,LH,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-48,no,yes,no,no,no,75200,20304,14877,-7.7,1279,-46.2,20155,Adam H. Schechter,U.S.,Burlington,NC,www.labcorp.com,Public,"Market value as of March 31, 2023.",20304,6/5/2023
279,CSX,CSX,Transportation,Railroads,yes,no,no,yes,19,yes,no,no,no,no,22542,61330,14853,18.6,4166,10.2,41912,Joseph R. Hinrichs,U.S.,Jacksonville,FL,www.csx.com,Public,"Market value as of March 31, 2023.",61330,6/5/2023
280,J.B. Hunt Transport Services,JBHT,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,31,yes,no,no,no,no,37151,18208,14814,21.7,969,27.4,7787,John N. Roberts III,U.S.,Lowell,AR,www.jbhunt.com,Public,"Market value as of March 31, 2023.",18208,6/5/2023
281,Guardian Life Ins. Co. of America,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,-34,no,yes,no,no,no,8025,,14653,,71,-75.4,91620,Andrew J. McMahon,U.S.,New York,NY,www.guardianlife.com,Private,"Market value as of March 31, 2021.",,6/5/2023
282,Jackson Financial,JXN,Financials,"Insurance: Life, Health (stock)",yes,no,yes,yes,113,yes,no,no,no,no,3435,3078,14551,57.4,5697,79,311058,Laura L. Prieskorn,U.S.,Lansing,MI,www.jackson.com,Public,"Market value as of March 31, 2023.",3078,6/5/2023
283,Fidelity National Information Services,FIS,Business Services,Financial Data Services,no,no,yes,yes,-15,no,yes,no,no,no,69000,32160,14528,4.7,-16720,-4109.6,63278,Stephanie L. Ferris,U.S.,Jacksonville,FL,www.fisglobal.com,Public,"Market value as of March 31, 2023.",32160,6/5/2023
284,Berry Global Group,BERY,Materials,"Packaging, Containers",yes,no,no,no,-13,no,yes,no,no,no,46000,7151,14495,4.7,766,4.5,16956,Thomas E. Salmon,U.S.,Evansville,IN,www.berryglobal.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",7151,6/5/2023
285,Sempra,SRE,Energy,Utilities: Gas and Electric,yes,no,no,yes,3,yes,no,no,no,no,15785,47563,14439,12.3,2138,62.3,78574,Jeffrey W. Martin,U.S.,San Diego,CA,www.sempra.com,Public,"Market value as of March 31, 2023.",47563,6/5/2023
286,IQVIA Holdings,IQV,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-17,no,yes,no,no,no,86000,37022,14410,3.9,1091,12.9,25337,Ari Bousbib,U.S.,Durham,NC,www.iqvia.com,Public,"Market value as of March 31, 2023.",37022,6/5/2023
287,O'Reilly Automotive,ORLY,Retailing,Specialty Retailers: Other,yes,no,no,yes,-8,no,yes,no,no,no,79679,52269,14410,8.1,2173,0.4,12628,Gregory D. Johnson,U.S.,Springfield,MO,www.oreillyauto.com,Public,"Market value as of March 31, 2023.",52269,6/5/2023
288,Leidos Holdings,LDOS,Technology,Information Technology Services,yes,no,no,yes,-14,no,yes,no,no,no,45000,12630,14396,4.8,685,-9,13071,Thomas A. Bell,U.S.,Reston,VA,www.leidos.com,Public,"Market value as of March 31, 2023.",12630,6/5/2023
289,Ameriprise Financial,AMP,Financials,Diversified Financials,yes,no,no,yes,-12,no,yes,no,no,no,13500,32228,14347,6.7,2559,-7.3,158468,James M. Cracchiolo,U.S.,Minneapolis,MN,www.ameriprise.com,Public,"Market value as of March 31, 2023.",32228,6/5/2023
290,Omnicom Group,OMC,Business Services,"Advertising, marketing",yes,no,no,yes,-35,no,yes,no,no,no,74200,19001,14289,,1317,-6.5,27003,John D. Wren,U.S.,New York,NY,www.omnicomgroup.com,Public,"Market value as of March 31, 2023.",19001,6/5/2023
291,Tractor Supply,TSCO,Retailing,Specialty Retailers: Other,yes,no,no,yes,3,yes,no,no,no,no,36500,25830,14205,11.6,1089,9.2,8490,Harry A. Lawton III,U.S.,Brentwood,TN,www.tractorsupply.com,Public,"Market value as of March 31, 2023.",25830,6/5/2023
292,Corning,GLW,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-29,no,yes,no,no,no,57500,29890,14189,0.8,1316,-31,29499,Wendell P. Weeks,U.S.,Corning,NY,www.corning.com,Public,"Market value as of March 31, 2023.",29890,6/5/2023
293,Ecolab,ECL,Chemicals,Chemicals,yes,no,no,no,,,,no,no,no,47000,47121,14188,11.4,1092,-3.4,21464,Christophe Beck,U.S.,St. Paul,MN,www.ecolab.com,Public,"Market value as of March 31, 2023.",47121,6/5/2023
294,Icahn Enterprises,IEP,Financials,Diversified Financials,no,no,no,yes,34,yes,no,no,no,no,20041,18283,14101,24.5,-183,,27914,David Willetts,U.S.,Sunny Isles Beach,FL,www.ielp.com,Public,"Excise taxes have been deducted. A partnership. Market value as of March 31, 2023.",18283,6/5/2023
295,Farmers Insurance Exchange,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,-31,no,yes,no,no,no,11344,,14092,0.3,-314,,22979,Raul Vargas,U.S.,Woodland Hills,CA,www.farmers.com,Private,"Market value as of March 31, 2021.",,6/5/2023
296,Keurig Dr Pepper,KDP,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,,,,no,no,no,28000,49620,14057,10.8,1436,-33.1,51837,Robert J. Gamgort,U.S.,Burlington,MA,www.keurigdrpepper.com,Public,"Market value as of March 31, 2023.",49620,6/5/2023
297,Loews,L,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,-51,no,yes,no,no,no,12050,13395,14044,-4.2,1012,-35.9,75494,James S. Tisch,U.S.,New York,NY,www.loews.com,Public,"Market value as of March 31, 2023.",13395,6/5/2023
298,Equitable Holdings,EQH,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,38,yes,no,no,no,no,10250,9186,14017,27,1785,,253468,Mark Pearson,U.S.,New York,NY,www.equitableholdings.com,Public,"Market value as of March 31, 2023.",9186,6/5/2023
299,Sonic Automotive,SAH,Retailing,"Automotive Retailing, Services",yes,no,no,yes,1,yes,no,no,no,no,10300,1930,14001,12.9,89,-74.6,4978,David Bruton Smith,U.S.,Charlotte,NC,www.sonicautomotive.com,Public,"Market value as of March 31, 2023.",1930,6/5/2023
300,Fox,FOXA,Media,Entertainment,yes,no,no,yes,-13,no,yes,no,no,no,10600,17551,13974,8.3,1205,-44,22185,Lachlan K. Murdoch,U.S.,New York,NY,www.foxcorporation.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",17551,6/5/2023
301,American Family Insurance Group,,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-50,no,yes,no,no,no,12990,,13814,-5.5,-1904,-359.3,36088,William Westrate,U.S.,Madison,WI,www.amfam.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,6/5/2023
302,Entergy,ETR,Energy,Utilities: Gas and Electric,yes,no,no,no,19,yes,no,no,no,no,11707,22851,13764,17.2,1103,-1.4,58595,Andrew S. Marsh,U.S.,New Orleans,LA,www.entergy.com,Public,"Market value as of March 31, 2023.",22851,6/5/2023
303,Fluor,FLR,Engineering & Construction,Engineering & Construction,yes,no,no,no,-44,no,yes,no,no,no,39576,4392,13744,-2.9,145,,6827,David E. Constable,U.S.,Irving,TX,www.fluor.com,Public,"Market value as of March 31, 2023.",4392,6/5/2023
304,Vistra,VST,Energy,Energy,no,no,no,no,11,yes,no,no,no,no,4910,9155,13728,13.7,-1227,,32787,James A. Burke,U.S.,Irving,TX,www.vistracorp.com,Public,"Market value as of March 31, 2023.",9155,6/5/2023
305,State Street,STT,Financials,Commercial Banks,yes,no,no,yes,11,yes,no,no,no,no,42226,26074,13692,13.8,2774,3,301450,Ronald P. O&#039;Hanley,U.S.,Boston,MA,www.statestreet.com,Public,"Market value as of March 31, 2023.",26074,6/5/2023
306,Otis Worldwide,OTIS,Industrials,Industrial Machinery,yes,no,yes,no,-52,no,yes,no,no,no,69000,35015,13685,-4.3,1253,0.6,9819,Judith F. Marks,U.S.,Farmington,CT,www.otis.com,Public,"Market value as of March 31, 2023.",35015,6/5/2023
307,Peter Kiewit Sons',,Engineering & Construction,Engineering & Construction,yes,no,no,no,6,yes,no,no,no,no,25700,,13663,12.5,710,-5.7,7220,Rick Lanoha,U.S.,Omaha,NE,www.kiewit.com,Private,"Market value as of March 31, 2021.",,6/5/2023
308,Carvana,CVNA,Retailing,"Automotive Retailing, Services",no,yes,no,no,-18,no,yes,no,no,no,16600,1761,13604,6.2,-1587,,8698,Ernest C. Garcia III,U.S.,Tempe,AZ,www.carvana.com,Public,"Market value as of March 31, 2023.",1761,6/5/2023
309,Republic Services,RSG,Business Services,Waste Management,yes,no,no,yes,20,yes,no,no,no,no,40000,42763,13511,19.6,1488,15.3,29053,Jon Vander Ark,U.S.,Phoenix,AZ,www.republicservices.com,Public,"Market value as of March 31, 2023.",42763,6/5/2023
310,AECOM,ACM,Engineering & Construction,Engineering & Construction,yes,no,no,no,-50,no,yes,no,no,no,50000,11716,13496,-4.4,311,79.4,11139,W. Troy Rudd,U.S.,Dallas,TX,www.aecom.com,Public,"Includes revenues from discontinued operations. Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",11716,6/5/2023
311,Universal Health Services,UHS,Health Care,Health Care: Medical Facilities,yes,no,no,yes,-14,no,yes,no,no,no,82500,8982,13399,6,676,-31.9,13494,Marc D. Miller,U.S.,King of Prussia,PA,www.uhs.com,Public,"Market value as of March 31, 2023.",8982,6/5/2023
312,Pacific Life,,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-46,no,yes,no,no,no,3950,,13360,-4.1,763,-30.8,199324,Darryl D. Button,U.S.,Newport Beach,CA,www.pacificlife.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,6/5/2023
313,VMware,VMW,Technology,Computer Software,yes,no,no,yes,,,,yes,no,no,38300,53496,13350,3.9,1314,-27.8,31237,Raghu Raghuram,U.S.,Palo Alto,CA,www.vmware.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Spun off from Dell Technologies (2022 rank: 34), Nov. 1, 2022. Market value as of March 31, 2023.",53496,6/5/2023
314,Western & Southern Financial Group,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,58,yes,no,no,no,no,2594,,13156,39.3,309,-14.4,69147,John F. Barrett,U.S.,Cincinnati,OH,www.westernsouthern.com,Private,"Market value as of March 31, 2021.",,6/5/2023
315,MGM Resorts International,MGM,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,49,yes,no,no,no,no,66000,16564,13128,35.6,1473,17.4,45692,William J. Hornbuckle,U.S.,Las Vegas,NV,www.mgmresorts.com,Public,"Market value as of March 31, 2023.",16564,6/5/2023
316,Casey's General Stores,CASY,Retailing,Specialty Retailers: Other,yes,no,no,yes,129,yes,no,no,no,no,31466,8066,12953,48.8,340,8.6,5506,Darren M. Rebelez,U.S.,Ankeny,IA,www.caseys.com,Public,"Figures are for fiscal year ended April 30, 2022. Market value as of March 31, 2023.",8066,6/5/2023
317,Crown Holdings,CCK,Materials,"Packaging, Containers",yes,no,no,no,-31,no,yes,no,no,no,26000,9934,12943,-0.3,727,,14301,Timothy J. Donahue,U.S.,Tampa,FL,www.crowncork.com,Public,"Market value as of March 31, 2023.",9934,6/5/2023
318,Textron,TXT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,-16,no,yes,no,no,no,34000,14385,12869,3.9,861,15.4,16293,Scott C. Donnelly,U.S.,Providence,RI,www.textron.com,Public,"Market value as of March 31, 2023.",14385,6/5/2023
319,LKQ,LKQ,Wholesalers,Wholesalers: Diversified,yes,no,no,no,-36,no,yes,no,no,no,45000,15171,12794,-2.3,1149,5.3,12038,Dominick P. Zarcone,U.S.,Chicago,IL,www.lkqcorp.com,Public,"Market value as of March 31, 2023.",15171,6/5/2023
320,Norfolk Southern,NSC,Transportation,Railroads,yes,no,no,yes,12,yes,no,no,no,no,19300,48257,12745,14.4,3270,8.8,38885,Alan H. Shaw,U.S.,Atlanta,GA,www.norfolksouthern.com,Public,"Market value as of March 31, 2023.",48257,6/5/2023
321,Intuit,INTU,Technology,Computer Software,yes,no,no,yes,45,yes,no,no,no,yes,21850,125076,12726,32.1,2066,0.2,27734,Sasan K. Goodarzi,U.S.,Mountain View,CA,www.intuit.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",125076,6/5/2023
322,Air Products & Chemicals,APD,Chemicals,Chemicals,yes,no,no,yes,28,yes,no,no,no,no,20805,63784,12699,23,2256,7.5,27193,Seifi Ghasemi,U.S.,Allentown,PA,www.airproducts.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",63784,6/5/2023
323,Boston Scientific,BSX,Health Care,Medical Products and Equipment,yes,no,no,yes,-4,no,yes,no,no,no,45000,71910,12682,6.7,698,-32.9,32469,Michael F. Mahoney,U.S.,Marlborough,MA,www.bostonscientific.com,Public,"Market value as of March 31, 2023.",71910,6/5/2023
324,AGCO,AGCO,Industrials,Construction and Farm Machinery,yes,no,no,yes,10,yes,no,no,no,no,25600,10119,12651,13.6,890,-0.8,10104,Eric P. Hansotia,U.S.,Duluth,GA,www.agcocorp.com,Public,"Market value as of March 31, 2023.",10119,6/5/2023
325,Henry Schein,HSIC,Health Care,Wholesalers: Health Care,yes,no,no,yes,-26,no,yes,no,no,no,22000,10705,12647,2,538,-14.8,8607,Stanley M. Bergman,U.S.,Melville,NY,www.henryschein.com,Public,"Market value as of March 31, 2023.",10705,6/5/2023
326,Amphenol,APH,Technology,Network and Other Communications Equipment,yes,no,no,yes,15,yes,no,no,no,no,91000,48591,12623,16.1,1902,19.6,15326,R. Adam Norwitt,U.S.,Wallingford,CT,www.amphenol.com,Public,"Market value as of March 31, 2023.",48591,6/5/2023
327,AES,AES,Energy,Utilities: Gas and Electric,no,no,no,yes,6,yes,no,no,no,no,9100,16110,12617,13.2,-546,,38363,Andrés R. Gluski,U.S.,Arlington,VA,www.aes.com,Public,"Market value as of March 31, 2023.",16110,6/5/2023
328,Mutual of Omaha,,Financials,"Insurance: Life, Health (Mutual)",no,no,no,yes,-4,no,yes,no,no,yes,6350,,12531,8.1,-177,-200.2,45140,James T. Blackledge,U.S.,Omaha,NE,www.mutualofomaha.com,Private,"Figures are for fiscal year ended Dec. 31, 2021.",,6/5/2023
329,Ovintiv,OVV,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,71,yes,no,no,no,no,1744,8772,12464,44,3637,156.9,15056,Brendan M. McCracken,U.S.,Denver,CO,www.ovintiv.com,Public,"Market value as of March 31, 2023.",8772,6/5/2023
330,Hormel Foods,HRL,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-3,no,yes,no,no,no,20000,21796,12459,9.4,1000,10,13307,James P. Snee,U.S.,Austin,MN,www.hormelfoods.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",21796,6/5/2023
331,Alcoa,AA,Materials,Metals,no,no,no,yes,-19,no,yes,no,no,no,13100,7591,12451,2.5,-123,-128.7,14756,Roy C. Harvey,U.S.,Pittsburgh,PA,www.alcoa.com,Public,"Market value as of March 31, 2023.",7591,6/5/2023
332,International Flavors & Fragrances,IFF,Chemicals,Chemicals,no,no,no,yes,-10,no,yes,no,no,no,24600,23456,12440,6.7,-1871,-793,35407,Franklin K. Clyburn Jr.,U.S.,New York,NY,www.iff.com,Public,"Market value as of March 31, 2023.",23456,6/5/2023
333,Jones Financial (Edward Jones),,Financials,Securities,yes,no,yes,yes,-30,no,yes,no,no,yes,52000,,12411,0.3,1404,-12.5,29892,Penny Pennington,U.S.,Des Peres,MO,www.edwardjones.com,Private,A partnership. Net income before allocations to partners. Total partnership capital subject to mandatory redemption.,,6/5/2023
334,Dick's Sporting Goods,DKS,Retailing,Specialty Retailers: Other,yes,no,yes,yes,-27,no,yes,no,no,no,35800,12148,12368,0.6,1043,-31.4,8992,Lauren R. Hobart,U.S.,Coraopolis,PA,www.dickssportinggoods.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",12148,6/5/2023
335,Eversource Energy,ES,Energy,Utilities: Gas and Electric,yes,no,no,yes,23,yes,no,no,no,no,9626,27287,12289,24.6,1405,15.1,53231,Joseph R. Nolan Jr.,U.S.,Springfield,MA,www.eversource.com,Public,"Market value as of March 31, 2023.",27287,6/5/2023
336,Wayfair,W,Retailing,Internet Services and Retailing,no,yes,no,no,-61,no,yes,no,no,no,15745,3796,12218,-10.9,-1331,,3580,Niraj S. Shah,U.S.,Boston,MA,www.wayfair.com,Public,"Market value as of March 31, 2023.",3796,6/5/2023
337,Community Health Systems,CYH,Health Care,Health Care: Medical Facilities,yes,no,no,no,-33,no,yes,no,no,no,58500,670,12211,-1.3,46,-80,14669,Tim L. Hingtgen,U.S.,Franklin,TN,www.chs.net,Public,"Market value as of March 31, 2023.",670,6/5/2023
338,Ally Financial,ALLY,Financials,Diversified Financials,yes,no,no,yes,7,yes,no,no,no,yes,11600,7668,12199,14.1,1714,-44,191826,Jeffrey J. Brown,U.S.,Detroit,MI,www.ally.com,Public,"Market value as of March 31, 2023.",7668,6/5/2023
339,Regeneron Pharmaceuticals,REGN,Health Care,Pharmaceuticals,yes,yes,no,yes,-108,no,yes,no,no,no,11851,89830,12173,-24.3,4338,-46.3,29215,Leonard S. Schleifer,U.S.,Tarrytown,NY,www.regeneron.com,Public,"Market value as of March 31, 2023.",89830,6/5/2023
340,Liberty Media,LSXMA,Media,Entertainment,yes,no,no,yes,-14,no,yes,no,no,no,7283,9130,12164,6.7,1815,356,42464,Gregory B. Maffei,U.S.,Englewood,CO,www.libertymedia.com,Public,"Market value of Liberty SiriusXM stock. Market value as of March 31, 2023.",9130,6/5/2023
341,APA,APA,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,90,yes,no,no,no,no,2273,11213,12132,53,3674,277.6,13147,John J. Christmann IV,U.S.,Houston,TX,www.apacorp.com,Public,"Market value as of March 31, 2023.",11213,6/5/2023
342,Qurate Retail,QRTEA,Retailing,Internet Services and Retailing,no,no,no,no,-77,no,yes,no,no,no,24683,406,12106,-13.8,-2594,-862.9,12571,David L. Rawlinson II,U.S.,Englewood,CO,www.qurateretail.com,Public,"Market value as of March 31, 2023.",406,6/5/2023
343,FirstEnergy,FE,Energy,Utilities: Gas and Electric,yes,no,no,no,,,,no,no,no,12335,22924,12053,12,406,-68.4,46108,Brian X. Tierney,U.S.,Akron,OH,www.firstenergycorp.com,Public,"Excise taxes have been deducted. Market value as of March 31, 2023.",22924,6/5/2023
344,Analog Devices,ADI,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,119,yes,no,no,no,no,24450,99764,12014,64.2,2749,97.7,50302,Vincent T. Roche,U.S.,Wilmington,MA,www.analog.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",99764,6/5/2023
345,Ryder System,R,Transportation,Transportation and Logistics,yes,no,no,yes,20,yes,no,no,no,no,48300,4147,12011,24.3,867,67,14395,Robert E. Sanchez,U.S.,Miami,FL,www.ryder.com,Public,"Market value as of March 31, 2023.",4147,6/5/2023
